,0,1
513,3.5,19.0
514,4.5,105.0
515,3.5,76.0
516,4.0,160.0
517,4.5,69.0
518,3.5,55.0
519,4.5,159.0
520,4.5,171.0
521,4.5,130.0
522,3.5,209.0
523,4.0,22.0
524,4.0,717.0
525,4.0,918.0
526,4.5,46.0
527,3.5,356.0
528,4.5,70.0
529,4.0,14.0
530,4.0,87.0
531,4.0,1151.0
532,3.5,477.0
533,3.5,1021.0
534,3.0,239.0
535,4.0,63.0
536,4.5,33.0
537,4.0,740.0
538,3.5,442.0
539,4.0,133.0
540,4.0,270.0
541,4.0,76.0
542,3.5,119.0
543,3.5,111.0
544,4.0,170.0
545,4.5,48.0
546,4.5,91.0
547,4.0,155.0
548,4.0,206.0
549,4.0,234.0
550,3.0,153.0
551,3.5,905.0
552,4.0,184.0
553,4.0,191.0
554,4.5,160.0
555,3.5,74.0
556,4.0,150.0
557,4.0,525.0
558,4.0,81.0
559,4.0,32.0
560,3.0,58.0
561,3.5,134.0
562,4.0,143.0
563,4.5,18.0
564,3.5,114.0
565,4.5,975.0
566,4.0,144.0
567,4.0,14.0
568,4.5,65.0
569,3.5,31.0
570,4.0,97.0
571,4.0,5.0
572,4.5,27.0
573,5.0,46.0
574,4.5,73.0
575,4.0,66.0
576,4.5,86.0
577,4.5,32.0
578,3.0,297.0
579,4.0,118.0
580,4.0,301.0
581,3.5,457.0
582,3.5,397.0
583,3.5,9.0
584,4.0,110.0
585,3.5,513.0
586,3.5,491.0
587,4.0,196.0
588,2.5,128.0
589,4.5,30.0
590,4.0,27.0
591,4.0,70.0
592,2.5,52.0
593,2.5,36.0
594,3.5,331.0
595,4.0,48.0
596,3.5,144.0
597,3.5,305.0
598,3.5,249.0
599,4.0,18.0
600,4.0,45.0
601,3.0,88.0
602,4.0,21.0
603,4.5,148.0
604,4.0,57.0
605,4.0,330.0
606,4.5,788.0
607,4.5,1490.0
608,2.0,22.0
609,4.0,266.0
610,4.0,981.0
611,3.5,118.0
612,4.0,372.0
613,4.5,67.0
614,4.0,70.0
615,4.0,91.0
616,4.0,100.0
617,4.0,76.0
618,3.5,37.0
619,4.5,78.0
620,4.5,32.0
621,4.0,417.0
622,4.0,2416.0
623,4.0,1156.0
624,3.5,66.0
625,4.0,320.0
626,4.5,891.0
627,4.0,392.0
628,4.5,505.0
629,4.0,66.0
630,4.5,42.0
631,3.5,29.0
632,4.0,64.0
633,4.0,40.0
634,4.0,568.0
635,3.5,32.0
636,3.5,14.0
637,4.5,25.0
638,3.5,40.0
639,4.5,29.0
640,4.0,229.0
641,3.5,346.0
642,4.0,557.0
643,4.5,517.0
644,4.0,60.0
645,4.5,140.0
646,4.0,144.0
647,3.5,74.0
648,4.0,215.0
649,4.5,181.0
650,4.5,21.0
651,4.0,282.0
652,4.5,120.0
653,4.0,61.0
654,4.5,101.0
655,4.0,91.0
656,4.0,135.0
657,4.0,46.0
658,4.0,33.0
659,3.0,40.0
660,3.5,66.0
661,4.0,81.0
662,4.0,19.0
663,4.0,18.0
664,4.5,96.0
665,3.5,16.0
666,4.5,72.0
667,3.5,47.0
668,4.0,26.0
669,4.5,23.0
670,4.5,40.0
671,4.0,19.0
672,5.0,39.0
673,4.5,215.0
674,4.5,414.0
675,4.5,169.0
676,3.0,749.0
677,4.5,103.0
678,3.5,35.0
679,4.5,44.0
680,3.5,99.0
681,4.0,923.0
682,3.5,233.0
683,4.5,342.0
684,4.0,150.0
685,4.0,129.0
686,3.0,50.0
687,4.0,28.0
688,4.0,86.0
689,3.5,208.0
690,4.5,1153.0
691,3.5,84.0
692,4.0,63.0
693,4.0,136.0
694,4.5,98.0
695,4.0,25.0
696,5.0,15.0
697,4.0,847.0
698,4.0,721.0
699,4.0,285.0
700,4.0,402.0
701,4.0,296.0
702,4.0,219.0
703,4.0,360.0
704,4.0,197.0
705,4.0,725.0
706,4.0,331.0
707,3.5,389.0
708,4.0,628.0
709,4.0,113.0
710,3.5,618.0
711,4.0,76.0
712,4.0,289.0
713,4.0,451.0
714,3.5,354.0
715,4.5,561.0
716,4.5,748.0
717,4.0,911.0
718,4.0,51.0
719,3.5,172.0
720,4.5,62.0
721,4.5,152.0
722,4.0,134.0
723,4.0,69.0
724,4.0,56.0
725,4.0,29.0
726,4.0,164.0
727,3.5,180.0
728,3.5,70.0
729,5.0,75.0
730,4.0,130.0
731,4.0,232.0
732,3.5,87.0
733,4.0,188.0
734,3.5,130.0
735,4.0,99.0
736,4.0,25.0
737,3.5,42.0
738,4.0,288.0
739,4.0,8.0
740,3.5,68.0
741,4.0,55.0
742,4.5,878.0
743,4.0,402.0
744,4.0,31.0
745,3.5,30.0
746,4.0,54.0
747,4.0,72.0
748,4.0,79.0
749,4.0,127.0
750,4.5,49.0
751,4.5,330.0
752,3.0,111.0
753,4.0,243.0
754,4.5,619.0
755,3.5,59.0
756,4.5,52.0
757,3.5,225.0
758,4.0,279.0
759,4.0,399.0
760,4.5,98.0
761,4.5,208.0
762,4.0,172.0
763,3.5,576.0
764,3.5,148.0
765,3.5,101.0
766,4.5,30.0
767,4.5,114.0
768,3.5,176.0
769,5.0,18.0
770,3.0,13.0
771,4.5,144.0
772,4.0,29.0
773,4.5,66.0
774,5.0,39.0
775,3.0,21.0
776,3.5,51.0
777,4.0,57.0
778,4.0,220.0
779,4.5,246.0
780,4.0,88.0
781,3.5,402.0
782,3.5,44.0
783,3.5,54.0
784,4.5,37.0
785,4.0,52.0
786,4.0,74.0
787,4.5,26.0
788,4.0,119.0
789,4.5,63.0
790,4.0,74.0
791,3.0,49.0
792,4.5,79.0
793,4.5,132.0
794,4.5,314.0
795,5.0,150.0
796,4.0,99.0
797,4.5,20.0
798,4.5,27.0
799,4.5,55.0
800,3.5,7.0
801,5.0,33.0
802,4.0,379.0
803,4.5,39.0
804,4.5,170.0
805,4.0,55.0
806,4.5,202.0
807,4.5,18.0
808,4.0,52.0
809,4.5,48.0
810,3.5,25.0
811,4.5,1482.0
812,4.5,26.0
813,4.0,992.0
814,3.5,188.0
815,4.0,1384.0
816,5.0,37.0
817,3.0,102.0
818,3.5,267.0
819,4.5,369.0
820,4.5,183.0
821,4.0,128.0
822,4.5,561.0
823,4.0,85.0
824,4.0,743.0
825,4.0,931.0
826,3.5,139.0
827,4.0,89.0
828,4.0,251.0
829,4.0,97.0
830,4.0,83.0
831,4.0,357.0
832,4.0,44.0
833,4.0,167.0
834,3.5,82.0
835,4.5,107.0
836,4.5,103.0
837,4.0,95.0
838,4.0,142.0
839,4.5,77.0
840,4.0,75.0
841,4.0,112.0
842,4.0,83.0
843,3.0,133.0
844,3.5,126.0
845,4.5,51.0
846,4.5,82.0
847,4.5,58.0
848,3.5,87.0
849,4.0,93.0
850,4.5,54.0
851,5.0,334.0
852,4.5,430.0
853,4.5,314.0
854,4.5,135.0
855,4.5,38.0
856,3.5,116.0
857,4.0,95.0
